State,abbs,govt makeup,Session Years
California,CA,DDD,2021-2022
Wisconsin,WI,RRD,2021-2022
Nevada,NV,DDR,2023
Oklahoma,OK,RRR,2023
Mississippi,MS,RRR,2023
Connecticut,CT,DDD,2023
Texas,TX,RRR,2021-2022
Washington,WA,DDD,2021-2022
Kansas,KS,RRD,2021-2022
Alaska,AK,RRR,2021-2022
Utah,UT,RRR,2023
Nebraska,NE,RRR,2021-2022
Hawaii,HI,DDD,2023
Montana,MT,RRR,2023
Idaho,ID,RRR,2023
Vermont,VT,DDR,2021-2022
Virginia,VA,RRD,2023
Delaware,DE,DDD,2021-2022
Illinois,IL,DDD,2021-2022
West Virginia,WV,RRR,2023
Georgia,GA,RRR,2021-2022
South Carolina,SC,RRR,2021-2022
Michigan,MI,RRD,2021-2022
Maryland,MD,DDR,2021-2022
Wyoming,WY,RRR,2021-2022
Oregon,OR,DDD,2021-2022
Colorado,CO,DDD,2021-2022
Rhode Island,RI,DDD,2021-2022
Arizona,AZ,RRR,2021-2022
Iowa,IA,RRR,2021-2022
MInnesota,MN,DDR,2021-2022
Louisiana,LA,RRD,2021-2022
South Dakota,SD,RRR,2021-2022
Florida,FL,RRR,2023
Pennsylvania,PA,RRD,2021-2022
North Dakota,ND,RRR,2021-2022
Indiana,IN,RRR,2023
Kentucky,KY,RRD,2023
New Jersey,NJ,DDD,2022-2023
New York,NY,DDD,2021-2022
Alabama,AL,RRR,2023
North Carolina,NC,RRD,2021-2022
Maine,ME,DDD,2021-2022
New Hampshire,NH,RRR,2023
New Mexico,NM,DDD,2023
Missouri,MI,RRR,2021-2022
Tennessee,TN,RRR,2021-2022
